,Unnamed: 0,Node_ID,Coordinates,Longitude,Latitude,page_rank,centrality,eigenvector,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality
1907,1907,1221165840,"(25.5514128, 45.7180598)",25.5514128,45.7180598,0.3927141718108798,0.5555555555555556,6.3627488804460974e-15,0.5505250680160224,0.047535404472131,0.047764762272163634,0.7386595067970804
1908,1908,9835667724,"(25.5517907, 45.7202633)",25.5517907,45.7202633,0.38543334093286846,0.5555555555555556,6.315273844480097e-15,0.5568143406430883,0.053011905117949024,0.053598869991567925,0.7530702263636673
1909,1909,1221165842,"(25.5511621, 45.7162702)",25.5511621,45.7162702,0.39560005278578336,0.5555555555555556,6.3615343060375815e-15,0.5445393690213024,0.030746669168350994,0.03153810312442519,0.7211099554104363
1910,1910,6553822619,"(25.5502179, 45.7185628)",25.5502179,45.7185628,0.42311089799766227,0.5555555555555556,6.414310366338022e-15,0.544511244021611,0.013466270011794094,0.012794282980971792,0.8903584582753751
1911,1911,1221165841,"(25.551687, 45.7103231)",25.551687,45.7103231,0.4537746658583661,0.5555555555555556,6.287367221211838e-15,0.5271882625915107,0.010728135704929823,0.010860705285291017,0.8480620993424103
1912,1912,2281113695,"(25.5512086, 45.7126166)",25.5512086,45.7126166,0.4673453345819346,0.5555555555555556,6.381261684189734e-15,0.5236609826001001,0.0061741401480131675,0.006247697459456001,0.7889130742346906
1913,1913,1221165862,"(25.552041, 45.7090842)",25.552041,45.7090842,0.4119909188244814,0.5555555555555556,6.178068961276311e-15,0.5355138240538033,0.01412862831195395,0.014299757783482431,0.8030380435914197
1914,1914,10728224062,"(25.5551419, 45.7113038)",25.5551419,45.7113038,0.1457508595615241,0.1111111111111111,6.323523290308062e-15,0.5187293652238535,0.0,0.0,0.8819288086668222
1915,1915,6553822620,"(25.5499643, 45.7165326)",25.5499643,45.7165326,0.40465378417428577,0.5555555555555556,6.4105589491180874e-15,0.541293353528611,0.02008240097579863,0.01767892842183126,0.967108677136448
1916,1916,6558532797,"(25.5511595, 45.7160628)",25.5511595,45.7160628,0.4300312002870292,0.5555555555555556,6.2748973528731544e-15,0.5412989120110079,0.020117029654601784,0.022567992436413317,0.6712846576692797
1917,1917,1221165849,"(25.5511331, 45.7149595)",25.5511331,45.7149595,0.4459381564232626,0.5555555555555556,6.258946182996725e-15,0.5309558464320087,0.006530628687648039,0.006501128302820236,0.6920454605259837
1918,1918,2281113685,"(25.5511439, 45.7154269)",25.5511439,45.7154269,0.4477436451383032,0.5555555555555556,6.226594284228346e-15,0.5326808613842368,0.0069003590344018165,0.006952983312795946,0.6825092928055663
1919,1919,9835660406,"(25.5542454, 45.7157185)",25.5542454,45.7157185,0.1428132475706949,0.1111111111111111,6.29516181295276e-15,0.5223765967356735,0.0,0.0,0.8685365077980592
1920,1920,10275167772,"(25.5511141, 45.7144927)",25.5511141,45.7144927,0.40557089558097675,0.5555555555555556,6.301211430657228e-15,0.5345851355668351,0.03479209066116915,0.03467899532564105,0.7592271167910128
1921,1921,1221165850,"(25.5436805, 45.7241546)",25.5436805,45.7241546,0.1371818950860945,0.1111111111111111,6.358980428941989e-15,0.535492063492065,0.0,0.0,0.7137081845926677
1922,1922,1221165858,"(25.5511587, 45.712893)",25.5511587,45.712893,0.408434247447392,0.5555555555555556,6.305043066682933e-15,0.5332574607991902,0.0379446772017208,0.037885522664726244,0.8797370505990167
1923,1923,10275167773,"(25.5511724, 45.7128173)",25.5511724,45.7128173,0.45344701466045334,0.5555555555555556,6.371521369195791e-15,0.5246382148615567,0.005886848337175225,0.005941260590843204,0.7687922983101637
1924,1924,2281113691,"(25.5491027, 45.712543)",25.5491027,45.712543,0.40828657132537,0.5555555555555556,6.164669754074119e-15,0.5322881954963146,0.05177739396581992,0.051927398717228894,0.7414552316967591
1925,1925,2281118371,"(25.5520953, 45.7089348)",25.5520953,45.7089348,0.4360251160847656,0.5555555555555556,6.211845494061719e-15,0.5437782076079946,0.02062911297417341,0.020872774665075637,0.7815667093775043
1926,1926,2281113689,"(25.5504469, 45.7088369)",25.5504469,45.7088369,0.5306917412407895,0.7777777777777777,6.003753540075335e-15,0.5359167136880527,0.04680568849448039,0.04693040067795161,0.7794403142402674
1927,1927,1390147506,"(25.6272602, 45.6496856)",25.6272602,45.6496856,0.322119637943858,0.2222222222222222,4.657771238067909e-05,0.7625292028613397,0.20494788695415173,0.1961376406461081,0.823817464784915
1928,1928,2622120000,"(25.6263852, 45.6500704)",25.6263852,45.6500704,0.3367993753154947,0.2222222222222222,2.903382166663998e-05,0.8171657119825131,0.3382821021181364,0.3203705989612546,0.7390946867021136
1929,1929,2688962353,"(25.6269896, 45.6494261)",25.6269896,45.6494261,0.3367993753154947,0.2222222222222222,2.9033821666659972e-05,0.8171657119825131,0.144173136358897,0.15765457086442397,0.680083125725213
1930,1930,1390165925,"(25.6216472, 45.6586577)",25.6216472,45.6586577,0.25000560570377156,0.2222222222222222,0.002670692840241706,0.8130191021893874,0.022229619289236297,0.029829284013752132,0.7621706160032371
1931,1931,2264745335,"(25.6212983, 45.6587795)",25.6212983,45.6587795,0.23223389461355154,0.2222222222222222,0.007389274546450137,0.805539637058262,0.538494192813403,0.5450912961628342,0.7249231512044262
1932,1932,1390165928,"(25.62199, 45.6584356)",25.62199,45.6584356,0.24464377599098425,0.2222222222222222,0.020815313637446584,0.8523048814008766,0.09815773060721034,0.0982541899107784,0.7148899984521451
